text,label
The World Health Organization confirmed a coordinated vaccination drive in Latin America to support rural clinics by Q3 2026 the regulator confirmed in today's briefing.,real
A parody investment channel reported oceans turned into instant coffee after a secret microwave experiment in the Arctic circle a rumour circulating on fringe forums claimed.,fake
A spam SMS screenshot said that NASA will pay a lifetime supply of diamonds to anyone who forward a message to ten suns according to anonymous viral posts.,fake
The European Central Bank confirmed a resilience funding program in the Eurozone to stabilise commodity markets by early next quarter the ministry detailed in its release.,real
The World Health Organization confirmed a trade facilitation framework in South Asia to stabilise commodity markets by the upcoming fiscal year according to the official bulletin.,real
The European Central Bank confirmed a coordinated vaccination drive in East Africa to modernise cross-border logistics by early next quarter the ministry detailed in its release.,real
The European Central Bank announced a resilience funding program in Latin America to modernise cross-border logistics by early next quarter the regulator confirmed in today's briefing.,real
"A screenshot of a fake press release said that WHO will pay 10,000 gold bars to anyone who hold your breath for an hour the hoax blog concluded.",fake
The World Health Organization confirmed a coordinated vaccination drive in South Asia to modernise cross-border logistics by early next quarter as recorded in the public minutes.,real
The World Health Organization announced a coordinated vaccination drive in the Eurozone to stabilise commodity markets by the end of 2025 according to the official bulletin.,real
An unverified vlog claimed that a famous pop star cured every disease by drinking glowing smoothies on an encrypted group a rumour circulating on fringe forums claimed.,fake
An anonymous chain email claimed that a television chef printed unlimited money by tuning pyramids with headphones on a private livestream according to anonymous viral posts.,fake
A conspiracy newsletter insisted the U.S. Congress legalized time travel lotteries to replace passports with emojis a rumour circulating on fringe forums claimed.,fake
The World Health Organization confirmed a coordinated vaccination drive in Latin America to stabilise commodity markets by early next quarter as recorded in the public minutes.,real
The European Central Bank confirmed a coordinated vaccination drive in South Asia to stabilise commodity markets by the upcoming fiscal year as recorded in the public minutes.,real
The European Central Bank approved a resilience funding program in South Asia to stabilise commodity markets by Q3 2026 as reported by accredited correspondents.,real
The World Health Organization announced a satellite monitoring mission in the Eurozone to stabilise commodity markets by the end of 2025 the ministry detailed in its release.,real
A viral meme claimed that a tech billionaire teleported across continents by whispering to moonlight on an encrypted group the chain message insisted without evidence.,fake
A doctored advertisement said that The International Olympic Committee will pay a lifetime supply of diamonds to anyone who decode alien emojis according to an unverifiable social media screenshot.,fake
A fringe astrology portal reported oceans turned into liquid chocolate after a wizard summit in the Mediterranean Sea the chain message insisted without evidence.,fake
The European Central Bank announced a resilience funding program in East Africa to stabilise commodity markets by early next quarter as recorded in the public minutes.,real
A viral meme claimed that a television chef printed unlimited money by installing secret crystals on a hidden forum according to anonymous viral posts.,fake
A clickbait microblog claimed that a famous pop star reversed climate change by whispering to moonlight on a private livestream the hoax blog concluded.,fake
A viral meme claimed that a television chef teleported across continents by whispering to moonlight on an encrypted group a rumour circulating on fringe forums claimed.,fake
An unverified vlog claimed that a television chef cured every disease by whispering to moonlight on a private livestream the hoax blog concluded.,fake
The European Central Bank announced a satellite monitoring mission in East Africa to modernise cross-border logistics by Q3 2026 as recorded in the public minutes.,real
A viral meme claimed that a tech billionaire printed unlimited money by drinking glowing smoothies on a hidden forum according to anonymous viral posts.,fake
An anonymous chain email claimed that a famous pop star teleported across continents by whispering to moonlight on an encrypted group the chain message insisted without evidence.,fake
A clickbait microblog claimed that a tech billionaire teleported across continents by tuning pyramids with headphones on a private livestream according to an unverifiable social media screenshot.,fake
A spoof news site insisted the United Nations legalized mind-control umbrellas to ban rainy Mondays the chain message insisted without evidence.,fake
The World Health Organization approved a resilience funding program in East Africa to modernise cross-border logistics by Q3 2026 according to the official bulletin.,real
A clickbait microblog claimed that a television chef printed unlimited money by tuning pyramids with headphones on a hidden forum according to anonymous viral posts.,fake
A screenshot of a fake press release said that WHO will pay $5 million to anyone who forward a message to ten suns according to an unverifiable social media screenshot.,fake
A clickbait microblog claimed that a famous pop star cured every disease by drinking glowing smoothies on a hidden forum a rumour circulating on fringe forums claimed.,fake
The European Central Bank approved a trade facilitation framework in East Africa to modernise cross-border logistics by the upcoming fiscal year the ministry detailed in its release.,real
The World Health Organization approved a coordinated vaccination drive in Latin America to improve disaster forecasting by the end of 2025 as recorded in the public minutes.,real
